phase,name,instance_oid,access,syntax,status,detail,old_value,new_value
set-readback,systemPatternControl,1.3.6.1.4.1.1206.4.2.1.4.14.0,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,systemSyncControl,1.3.6.1.4.1.1206.4.2.1.4.15.0,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,timeBaseScheduleDate,1.3.6.1.4.1.1206.4.2.6.3.3.2.1.4.1,read-write,INTEGER (0..4294967295),PASS,invalid Set rejected,4294967295,0
set-readback,timeBaseScheduleDay,1.3.6.1.4.1.1206.4.2.6.3.3.2.1.3.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,timeBaseScheduleDayPlan,1.3.6.1.4.1.1206.4.2.6.3.3.2.1.5.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,1,0
set-readback,timeBaseScheduleMonth,1.3.6.1.4.1.1206.4.2.6.3.3.2.1.2.1,read-write,INTEGER (0..65535),PASS,invalid Set rejected,65535,0
set-readback,timebaseAscAuxillaryFunction,1.3.6.1.4.1.1206.4.2.1.5.3.1.3.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,timebaseAscPattern,1.3.6.1.4.1.1206.4.2.1.5.3.1.2.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,timebaseAscPatternSync,1.3.6.1.4.1.1206.4.2.1.5.1.0,read-write,INTEGER (0..65535),PASS,invalid Set rejected,65535,0
set-readback,timebaseAscSpecialFunction,1.3.6.1.4.1.1206.4.2.1.5.3.1.4.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,unitAutoPedestrianClear,1.3.6.1.4.1.1206.4.2.1.3.2.0,read-write,"INTEGER { disable(1), enable (2) }",PASS,invalid Set rejected,2,1
set-readback,unitBackupTime,1.3.6.1.4.1.1206.4.2.1.3.3.0,read-write,INTEGER (0..65535),PASS,invalid Set rejected,65535,0
set-readback,unitControl,1.3.6.1.4.1.1206.4.2.1.3.10.0,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,unitRedRevert,1.3.6.1.4.1.1206.4.2.1.3.4.0,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,unitStartUpFlash,1.3.6.1.4.1.1206.4.2.1.3.1.0,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorCallPhase,1.3.6.1.4.1.1206.4.2.1.2.2.1.4.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorDelay,1.3.6.1.4.1.1206.4.2.1.2.2.1.6.1,read-write,INTEGER (0..65535),PASS,invalid Set rejected,65535,0
set-readback,vehicleDetectorErraticCounts,1.3.6.1.4.1.1206.4.2.1.2.2.1.11.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorExtend,1.3.6.1.4.1.1206.4.2.1.2.2.1.7.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorFailTime,1.3.6.1.4.1.1206.4.2.1.2.2.1.12.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorMaxPresence,1.3.6.1.4.1.1206.4.2.1.2.2.1.10.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorNoActivity,1.3.6.1.4.1.1206.4.2.1.2.2.1.9.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorOptions,1.3.6.1.4.1.1206.4.2.1.2.2.1.2.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorQueueLimit,1.3.6.1.4.1.1206.4.2.1.2.2.1.8.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,vehicleDetectorReset,1.3.6.1.4.1.1206.4.2.1.2.2.1.15.1,read-write,INTEGER (0..1),PASS,invalid Set rejected,1,0
set-readback,vehicleDetectorSwitchPhase,1.3.6.1.4.1.1206.4.2.1.2.2.1.5.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,volumeOccupancyPeriod,1.3.6.1.4.1.1206.4.2.1.2.5.2.0,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
reject-readonly,activeVolumeOccupancyDetectors,1.3.6.1.4.1.1206.4.2.1.2.5.3.0,read-only,INTEGER (0..255),PASS,rejected,,
reject-readonly,alarmGroupNumber,1.3.6.1.4.1.1206.4.2.1.3.12.1.1.1,read-only,INTEGER (1..255),PASS,rejected,,
reject-readonly,alarmGroupState,1.3.6.1.4.1.1206.4.2.1.3.12.1.2.1,read-only,INTEGER (0..255),PASS,rejected,,
reject-readonly,ascBlockErrorStatus,1.3.6.1.4.1.1206.4.2.1.11.3.0,read-only,INTEGER (0..65535),PASS,rejected,,
reject-readonly,auxIOPortDirection,1.3.6.1.4.1.1206.4.2.6.7.3.1.6.2.1,read-only,"INTEGER { output (1), input (2), bidirectional (3)}",PASS,rejected,,
reject-readonly,auxIOPortLastCommandedState,1.3.6.1.4.1.1206.4.2.6.7.3.1.7.2.1,read-only,INTEGER (0..4294967295),PASS,rejected,,
reject-readonly,auxIOPortNumber,1.3.6.1.4.1.1206.4.2.6.7.3.1.2.2.1,read-only,INTEGER (1..255),PASS,rejected,,
reject-readonly,auxIOPortResolution,1.3.6.1.4.1.1206.4.2.6.7.3.1.4.2.1,read-only,INTEGER (1..32),PASS,rejected,,
reject-readonly,auxIOPortType,1.3.6.1.4.1.1206.4.2.6.7.3.1.1.2.1,read-only,"INTEGER{ other (1), analog (2), digital (3) }",PASS,rejected,,
reject-readonly,auxIOTableNumAnalogPorts,1.3.6.1.4.1.1206.4.2.6.7.2.0,read-only,INTEGER (1..255),PASS,rejected,,
reject-readonly,auxIOTableNumDigitalPorts,1.3.6.1.4.1.1206.4.2.6.7.1.0,read-only,INTEGER (1..255),PASS,rejected,,
reject-readonly,channelNumber,1.3.6.1.4.1.1206.4.2.1.8.2.1.1.1,read-only,INTEGER (1..255),PASS,rejected,,
reject-readonly,channelStatusGroupGreens,1.3.6.1.4.1.1206.4.2.1.8.4.1.4.1,read-only,INTEGER (0..255),PASS,rejected,,
reject-readonly,channelStatusGroupNumber,1.3.6.1.4.1.1206.4.2.1.8.4.1.1.1,read-only,INTEGER (1..255),PASS,rejected,,
reject-readonly,channelStatusGroupReds,1.3.6.1.4.1.1206.4.2.1.8.4.1.2.1,read-only,INTEGER (0..255),PASS,rejected,,
reject-readonly,channelStatusGroupYellows,1.3.6.1.4.1.1206.4.2.1.8.4.1.3.1,read-only,INTEGER (0..255),PASS,rejected,,
